alcalinity_of_ash,magnesium,flavanoids,color_intensity,proline
15.6,127.0,3.06,5.64,1065.0
11.2,100.0,2.76,4.38,1050.0
18.6,101.0,3.24,5.68,1185.0
16.8,113.0,3.49,7.8,1480.0
21.0,118.0,2.69,4.32,735.0
15.2,112.0,3.39,6.75,1450.0
14.6,96.0,2.52,5.25,1290.0
17.6,121.0,2.51,5.05,1295.0
14.0,97.0,2.98,5.2,1045.0
16.0,98.0,3.15,7.22,1045.0
18.0,105.0,3.32,5.75,1510.0
16.8,95.0,2.43,5.0,1280.0
16.0,89.0,2.76,5.6,1320.0
11.4,91.0,3.69,5.4,1150.0
12.0,102.0,3.64,7.5,1547.0
17.2,112.0,2.91,7.3,1310.0
20.0,120.0,3.14,6.2,1280.0
20.0,115.0,3.4,6.6,1130.0
16.5,108.0,3.93,8.7,1680.0
15.2,116.0,3.03,5.1,845.0
16.0,126.0,3.17,5.65,780.0
18.6,102.0,2.41,4.5,770.0
16.6,101.0,2.88,3.8,1035.0
17.8,95.0,2.37,3.93,1015.0
20.0,96.0,2.61,3.52,845.0
25.0,124.0,2.68,3.58,830.0
16.1,93.0,2.94,4.8,1195.0
17.0,94.0,2.19,3.95,1285.0
19.4,107.0,2.97,4.5,915.0
16.0,96.0,2.33,4.7,1035.0
22.5,101.0,3.25,5.7,1285.0
19.1,106.0,3.19,6.9,1515.0
17.2,104.0,2.69,3.84,990.0
19.5,132.0,2.74,5.4,1235.0
19.0,110.0,2.53,4.2,1095.0
20.5,100.0,2.98,5.1,920.0
15.5,110.0,2.68,4.6,880.0
18.0,98.0,2.43,4.25,1105.0
15.5,98.0,2.64,3.7,1020.0
13.2,128.0,3.04,5.1,760.0
16.2,117.0,3.29,6.13,795.0
18.8,90.0,2.68,4.28,1035.0
15.0,101.0,3.56,5.43,1095.0
17.5,103.0,2.63,4.36,680.0
17.0,107.0,3.0,5.04,885.0
18.9,111.0,2.65,5.24,1080.0
16.0,102.0,3.17,4.9,1065.0
16.0,101.0,3.39,6.1,985.0
18.8,103.0,2.92,6.2,1060.0
17.4,108.0,3.54,8.9,1260.0
12.4,92.0,3.27,7.2,1150.0
17.2,94.0,2.99,5.6,1265.0
14.0,111.0,3.74,7.05,1190.0
17.1,115.0,2.79,6.3,1375.0
16.4,118.0,2.9,5.85,1060.0
20.5,116.0,2.78,6.25,1120.0
16.3,118.0,3.0,6.38,970.0
16.8,102.0,3.23,6.0,1270.0
16.7,108.0,3.67,6.8,1285.0
10.6,88.0,0.57,1.95,520.0
16.0,101.0,1.09,3.27,680.0
16.8,100.0,1.41,5.75,450.0
18.0,94.0,1.79,3.8,630.0
19.0,87.0,3.1,4.45,420.0
19.0,104.0,1.75,2.95,355.0
18.1,98.0,2.65,4.6,678.0
15.0,78.0,3.18,5.3,502.0
19.6,78.0,2.0,4.68,510.0
17.0,110.0,1.3,3.17,750.0
16.8,151.0,1.28,2.85,718.0
20.4,103.0,1.02,3.05,870.0
25.0,86.0,2.86,3.38,410.0
24.0,87.0,1.84,3.74,472.0
30.0,139.0,2.89,3.35,985.0
21.0,101.0,2.14,3.21,886.0
16.0,97.0,1.57,3.8,428.0
16.0,86.0,2.03,4.6,392.0
18.0,112.0,1.32,2.65,500.0
14.8,136.0,1.85,3.4,750.0
23.0,101.0,2.55,2.57,463.0
19.0,86.0,2.26,2.5,278.0
18.8,86.0,2.53,3.9,714.0
24.0,78.0,1.58,2.2,630.0
22.5,85.0,1.59,4.8,515.0
18.0,94.0,2.21,3.05,520.0
18.0,99.0,1.94,2.62,450.0
22.8,90.0,1.69,2.45,495.0
26.0,88.0,1.61,2.6,562.0
21.6,84.0,1.69,2.8,680.0
23.6,70.0,1.59,1.74,625.0
18.5,81.0,1.5,2.4,480.0
22.0,86.0,1.25,3.6,450.0
20.7,80.0,1.46,3.05,495.0
18.0,88.0,2.25,2.15,290.0
18.0,98.0,2.26,3.25,345.0
19.0,162.0,2.27,2.6,937.0
21.5,134.0,0.99,2.5,625.0
16.0,85.0,2.5,2.9,428.0
18.5,88.0,3.75,4.5,660.0
18.0,88.0,2.99,2.3,406.0
17.5,97.0,2.17,3.3,710.0
18.5,88.0,1.36,2.45,562.0
21.0,98.0,2.11,2.8,438.0
19.5,86.0,1.64,2.06,415.0
20.5,85.0,1.92,2.94,672.0
22.0,90.0,1.84,2.7,315.0
19.0,80.0,2.03,3.4,510.0
22.5,84.0,1.76,3.3,488.0
19.0,92.0,2.04,2.7,312.0
20.0,94.0,2.92,2.65,680.0
19.5,107.0,2.58,2.9,562.0
21.0,88.0,2.27,2.0,325.0
20.0,103.0,2.03,3.8,607.0
21.0,88.0,2.01,3.08,434.0
22.5,84.0,2.29,2.9,385.0
21.5,85.0,2.17,1.9,407.0
20.8,86.0,1.6,1.95,495.0
22.5,108.0,2.09,2.06,345.0
16.0,80.0,1.25,3.4,372.0
19.0,87.0,1.64,1.28,564.0
20.0,96.0,2.79,3.25,625.0
28.5,119.0,5.08,6.0,465.0
26.5,102.0,2.13,2.08,365.0
21.5,86.0,2.65,2.6,380.0
21.0,82.0,3.03,2.8,380.0
21.0,85.0,2.65,2.76,378.0
21.5,86.0,3.15,3.94,352.0
28.5,92.0,2.24,3.0,466.0
24.5,88.0,2.45,2.12,342.0
22.0,80.0,1.75,2.6,580.0
18.0,122.0,1.25,4.1,630.0
20.0,104.0,1.22,5.4,530.0
24.0,98.0,1.09,5.7,560.0
21.5,106.0,1.2,5.0,600.0
17.5,85.0,0.58,5.45,650.0
18.5,94.0,0.66,7.1,695.0
21.0,89.0,0.47,3.85,720.0
25.0,96.0,0.6,5.0,515.0
19.5,88.0,0.48,5.7,580.0
24.0,101.0,0.6,4.92,590.0
21.0,96.0,0.5,4.6,600.0
20.0,89.0,0.5,5.6,780.0
23.5,97.0,0.52,4.35,520.0
20.0,92.0,0.8,4.4,550.0
18.5,112.0,0.78,8.21,855.0
21.0,102.0,0.55,4.0,830.0
20.0,80.0,0.34,4.9,415.0
21.5,86.0,0.65,7.65,625.0
21.5,92.0,0.76,8.42,650.0
21.5,113.0,1.39,9.4,550.0
24.0,123.0,1.57,8.6,500.0
22.0,112.0,1.36,10.8,480.0
25.5,116.0,1.28,7.1,425.0
18.5,98.0,0.83,10.52,675.0
20.0,103.0,0.58,7.6,640.0
22.0,93.0,0.63,7.9,725.0
19.5,89.0,0.83,9.01,480.0
27.0,97.0,0.58,7.5,880.0
25.0,98.0,1.31,13.0,660.0
22.5,89.0,1.1,11.75,620.0
21.0,88.0,0.92,7.65,520.0
20.0,107.0,0.56,5.88,680.0
22.0,106.0,0.6,5.58,570.0
18.5,106.0,0.7,5.28,675.0
22.0,90.0,0.68,9.58,615.0
22.5,88.0,0.47,6.62,520.0
23.0,111.0,0.92,10.68,695.0
19.5,88.0,0.66,10.26,685.0
24.5,105.0,0.84,8.66,750.0
25.0,112.0,0.96,8.5,630.0
19.0,96.0,0.49,5.5,510.0
19.5,86.0,0.51,9.899999,470.0
20.0,91.0,0.7,9.7,660.0
20.5,95.0,0.61,7.7,740.0
23.0,102.0,0.75,7.3,750.0
20.0,120.0,0.69,10.2,835.0
20.0,120.0,0.68,9.3,840.0
24.5,96.0,0.76,9.2,560.0
